path,class_name,label,split,width,height,aspect_ratio,file_size_bytes
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00249.jpg,Achaemenid architecture,0,train,1000,679,1.4728,141171
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00094.jpg,Achaemenid architecture,0,train,626,1000,0.626,105123
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00158.jpg,Achaemenid architecture,0,train,500,217,2.3041,15232
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00164.jpg,Achaemenid architecture,0,train,1000,738,1.355,178564
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00246.jpg,Achaemenid architecture,0,train,600,400,1.5,60509
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00228.jpg,Achaemenid architecture,0,train,299,470,0.6362,34776
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00190.jpg,Achaemenid architecture,0,train,700,583,1.2007,103021
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00122.jpg,Achaemenid architecture,0,train,610,352,1.733,26392
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00257.jpg,Achaemenid architecture,0,train,135,240,0.5625,9178
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00292.jpg,Achaemenid architecture,0,train,700,465,1.5054,121531
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00192.jpg,Achaemenid architecture,0,train,319,480,0.6646,32577
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00305.jpg,Achaemenid architecture,0,train,1000,422,2.3697,75744
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00038.jpg,Achaemenid architecture,0,train,640,853,0.7503,73992
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00338.jpg,Achaemenid architecture,0,train,800,600,1.3333,73218
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00347.jpg,Achaemenid architecture,0,train,800,519,1.5414,113359
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00364.jpg,Achaemenid architecture,0,train,600,474,1.2658,50918
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00043.jpg,Achaemenid architecture,0,train,1000,735,1.3605,118065
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00217.jpg,Achaemenid architecture,0,train,360,240,1.5,20973
/kaggle/input/datasets/aredaw/archstyle55/architectural-styles-dataset/Achaemenid architecture/achaemenid_architecture_00099.jpg,Achaemenid architecture,0,train,480,360,1.3333,34093
