model_a,model_b,b,c,n,p_value,p_chi_approx,delta_acc
convnext_small_seed42,dinov2_vitb14_linear_seed42,269,284,553,0.551655,0.837600,-0.004780
convnext_small_seed42,efficientnet_b0_seed42,292,162,454,0.000000,0.000000,0.041428
convnext_small_seed42,efficientnet_b2_seed42,239,158,397,0.000056,0.000316,0.025813
convnext_small_seed42,efficientnet_b3_seed42,186,184,370,0.958548,0.998650,0.000637
convnext_small_seed42,efficientnet_v2_s_seed42,156,220,376,0.001130,0.005103,-0.020395
convnext_small_seed42,ensemble_top3_uniform,68,204,272,0.000000,0.000000,-0.043340
convnext_small_seed42,ensemble_top3_weighted,121,251,372,0.000000,0.000000,-0.041428
convnext_small_seed42,resnet50_seed42,264,165,429,0.000002,0.000014,0.031549
convnext_small_seed42,swin_v2_t_seed42,1057,142,1199,0.000000,0.000000,0.291587
convnext_small_seed42,vit_b16_seed42,260,155,415,0.000000,0.000002,0.033461
dinov2_vitb14_linear_seed42,efficientnet_b0_seed42,380,235,615,0.000000,0.000000,0.046208
dinov2_vitb14_linear_seed42,efficientnet_b2_seed42,337,241,578,0.000075,0.000407,0.030593
dinov2_vitb14_linear_seed42,efficientnet_b3_seed42,288,271,559,0.498613,0.795344,0.005417
dinov2_vitb14_linear_seed42,efficientnet_v2_s_seed42,243,292,535,0.037867,0.116104,-0.015615
dinov2_vitb14_linear_seed42,ensemble_top3_uniform,135,256,391,0.000000,0.000000,-0.038560
dinov2_vitb14_linear_seed42,ensemble_top3_weighted,128,243,371,0.000000,0.000000,-0.036648
dinov2_vitb14_linear_seed42,resnet50_seed42,363,249,612,0.000005,0.000029,0.036329
dinov2_vitb14_linear_seed42,swin_v2_t_seed42,1076,146,1222,0.000000,0.000000,0.296367
dinov2_vitb14_linear_seed42,vit_b16_seed42,362,242,604,0.000001,0.000008,0.038241
efficientnet_b0_seed42,efficientnet_b2_seed42,194,243,437,0.021560,0.071636,-0.015615
efficientnet_b0_seed42,efficientnet_b3_seed42,180,308,488,0.000000,0.000000,-0.040790
efficientnet_b0_seed42,efficientnet_v2_s_seed42,152,346,498,0.000000,0.000000,-0.061823
efficientnet_b0_seed42,ensemble_top3_uniform,105,371,476,0.000000,0.000000,-0.084767
efficientnet_b0_seed42,ensemble_top3_weighted,129,389,518,0.000000,0.000000,-0.082855
efficientnet_b0_seed42,resnet50_seed42,232,263,495,0.177470,0.402890,-0.009879
efficientnet_b0_seed42,swin_v2_t_seed42,952,167,1119,0.000000,0.000000,0.250159
efficientnet_b0_seed42,vit_b16_seed42,213,238,451,0.258403,0.528041,-0.007967
efficientnet_b2_seed42,efficientnet_b3_seed42,149,228,377,0.000056,0.000313,-0.025175
efficientnet_b2_seed42,efficientnet_v2_s_seed42,139,284,423,0.000000,0.000000,-0.046208
efficientnet_b2_seed42,ensemble_top3_uniform,91,308,399,0.000000,0.000000,-0.069152
efficientnet_b2_seed42,ensemble_top3_weighted,106,317,423,0.000000,0.000000,-0.067240
efficientnet_b2_seed42,resnet50_seed42,232,214,446,0.420866,0.723257,0.005736
efficientnet_b2_seed42,swin_v2_t_seed42,987,153,1140,0.000000,0.000000,0.265774
efficientnet_b2_seed42,vit_b16_seed42,213,189,402,0.251295,0.517907,0.007648
efficientnet_b3_seed42,efficientnet_v2_s_seed42,162,228,390,0.000972,0.004442,-0.021033
efficientnet_b3_seed42,ensemble_top3_uniform,107,245,352,0.000000,0.000000,-0.043977
efficientnet_b3_seed42,ensemble_top3_weighted,128,260,388,0.000000,0.000000,-0.042065
efficientnet_b3_seed42,resnet50_seed42,266,169,435,0.000004,0.000025,0.030911
efficientnet_b3_seed42,swin_v2_t_seed42,1058,145,1203,0.000000,0.000000,0.290950
efficientnet_b3_seed42,vit_b16_seed42,277,174,451,0.000001,0.000010,0.032823
efficientnet_v2_s_seed42,ensemble_top3_uniform,60,132,192,0.000000,0.000002,-0.022945
efficientnet_v2_s_seed42,ensemble_top3_weighted,52,118,170,0.000000,0.000004,-0.021033
efficientnet_v2_s_seed42,resnet50_seed42,305,142,447,0.000000,0.000000,0.051944
efficientnet_v2_s_seed42,swin_v2_t_seed42,1115,136,1251,0.000000,0.000000,0.311982
efficientnet_v2_s_seed42,vit_b16_seed42,315,146,461,0.000000,0.000000,0.053856
ensemble_top3_uniform,ensemble_top3_weighted,58,52,110,0.633756,0.892582,0.001912
ensemble_top3_uniform,resnet50_seed42,340,105,445,0.000000,0.000000,0.074888
ensemble_top3_uniform,swin_v2_t_seed42,1161,110,1271,0.000000,0.000000,0.334927
ensemble_top3_uniform,vit_b16_seed42,342,101,443,0.000000,0.000000,0.076801
ensemble_top3_weighted,resnet50_seed42,347,118,465,0.000000,0.000000,0.072976
ensemble_top3_weighted,swin_v2_t_seed42,1157,112,1269,0.000000,0.000000,0.333015
ensemble_top3_weighted,vit_b16_seed42,356,121,477,0.000000,0.000000,0.074888
resnet50_seed42,swin_v2_t_seed42,992,176,1168,0.000000,0.000000,0.260038
resnet50_seed42,vit_b16_seed42,238,232,470,0.817630,0.973755,0.001912
swin_v2_t_seed42,vit_b16_seed42,181,991,1172,0.000000,0.000000,-0.258126
