model,n_full,n_keep,acc_full,acc_drop,delta_acc,macro_f1_full,macro_f1_drop,delta_macro_f1,bal_acc_full,bal_acc_drop
ensemble_top3_uniform,3138,3081,0.785214,0.798117,0.012904,0.779899,0.793374,0.013475,0.780327,0.793325
ensemble_top3_weighted,3138,3081,0.783301,0.796495,0.013193,0.778142,0.791782,0.013640,0.778418,0.791601
efficientnet_v2_s_seed42,3138,3081,0.762269,0.775722,0.013453,0.758168,0.771825,0.013657,0.759547,0.772741
dinov2_vitb14_linear_seed42,3138,3081,0.746654,0.758520,0.011866,0.737423,0.749883,0.012460,0.741491,0.753223
convnext_small_seed42,3138,3081,0.741874,0.756573,0.014699,0.738355,0.752874,0.014519,0.738836,0.753169
efficientnet_b3_seed42,3138,3081,0.741236,0.754625,0.013389,0.735619,0.749667,0.014048,0.737901,0.751152
efficientnet_b2_seed42,3138,3081,0.716061,0.730607,0.014546,0.709611,0.725010,0.015399,0.713879,0.728185
resnet50_seed42,3138,3081,0.710325,0.723791,0.013466,0.703893,0.717184,0.013291,0.706199,0.719373
vit_b16_seed42,3138,3081,0.708413,0.723791,0.015378,0.703373,0.719064,0.015691,0.706202,0.721399
efficientnet_b0_seed42,3138,3081,0.700446,0.712756,0.012309,0.694674,0.707386,0.012712,0.697536,0.709602
swin_v2_t_seed42,3138,3081,0.450287,0.456345,0.006059,0.421447,0.427522,0.006075,0.425623,0.431249
